Rank,Title,Username,Rating,Score,Performance,Team
164,,FNR96,1525,22,1417,
165,,Juandavid2097,1855,21,1989,
166,,aLVARO2702,2003,21,1989,
167,,saikoounk,1167,21,1734,
168,,C77248004Luiguie,1943,21,1725,
169,,Bersek_account,2221,21,1719,
170,,pandrex,1628,21,1651,
171,,conejorana96,1558,21,1644,
172,,oran-gutan,1634,21,1617,
173,,fiodor_nabokov,2033,21,1608,
174,,minideadpool72,1614,21,1602,
175,,DiegoMLintMEX,1355,21,1543,
176,,Ciudadano-Quien,1457,21,1456,
177,,Igorrruzz,1242,21,1437,
178,,Orphan_Pokemon,2298,20,2232,
179,,Kuidate,2152,20,2157,
180,,odontoED,2171,20,2067,
181,,Andorrano,2208,20,2017,
182,,Esenc,2032,20,1975,
183,,Alexzambra,1789,20,1908,
184,,fernandocavallotti00,2070,20,1851,
185,,AlexanderSanti,1678,20,1780,
186,,joslam15,2039,20,1756,
187,,Geckoidae,1624,20,1679,
188,,Charlyfischerov,1733,20,1669,
189,,DylanAG10,1636,20,1619,
190,,Vadiaz,1407,20,1594,
191,,orislaff,1562,20,1580,
192,,U015,1619,20,1579,
193,,Monroicito,1470,20,1572,
194,,soad30,1634,20,1529,
195,,jaimus,1301,20,1525,
196,,NicolasZL,1476,20,1516,
197,,Jhoel_507,1348,20,1500,
198,,Master-Darck,1611,20,1490,
199,,Roscondereyes,1491,20,1418,
200,,Argala_JMB,1246,20,1208,
201,,nilson14,2013,19,2006,
202,,antitodozgz,2059,19,1924,
203,,Javier_Loccisano,1785,19,1766,
204,,marcoslj1,1661,19,1592,
205,,tabancharcha,1702,19,1550,
206,,aaa_29292,1679,19,1544,
207,,vicentemontesinosj,1532,19,1542,
208,,zaybxc,1941,19,1515,
209,,emilianosoto,1454,19,1436,
210,,Jacob_LR,1329,19,1317,
211,,josuexp,2447,18,2293,
212,,GeorgeRoper,2021,18,2105,
213,,julinmejia,1844,18,1933,
214,,abraham76,1754,18,1820,
215,,Daniel98345679,1634,18,1809,
216,,Carius_1roSec,1818,18,1753,
